match_id,start_time,patch_version,radiant_win,radiant_recent_winrate,dire_recent_winrate,r1_hero_winrate,r2_hero_winrate,r3_hero_winrate,r4_hero_winrate,r5_hero_winrate,d1_hero_winrate,d2_hero_winrate,d3_hero_winrate,d4_hero_winrate,d5_hero_winrate
8697576851,1771521780,59,1,0.6,0.95,0.5,0.5,1.0,0.5,1.0,0.75,0.75,0.75,1.0,0.875
8697596107,1771522800,59,0,0.45,0.2,0.6667,0.5,0.6667,1.0,1.0,0.5,0.5,0.0,0.0,0.0
8697666126,1771526396,59,0,0.5556,0.4286,0.5,0.5,0.5,0.6667,0.5,0.5,0.5,1.0,0.0,0.5
8697681037,1771526518,59,1,0.6471,0.5,0.75,0.8,0.75,1.0,1.0,1.0,0.5,0.0,0.5,0.6667
8697682487,1771526591,59,0,0.2,0.4,0.25,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.3333,0.5
8697698749,1771528137,59,0,0.2,0.8,0.5,1.0,0.0,0.5,1.0,0.6667,0.5,0.5,1.0,0.8
8697723954,1771529520,59,1,0.4,0.1818,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5
8697750242,1771530420,59,0,0.4545,0.6667,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0
8697754563,1771531016,59,1,0.5263,0.4667,0.5,0.6667,0.5,0.5,0.6667,0.0,0.5,1.0,0.5,0.5
8697789792,1771532760,59,0,0.8182,0.1818,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0
8698367105,1771584898,59,1,0.3889,0.5833,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3333,1.0
8698367627,1771584900,59,1,0.65,0.25,0.5714,1.0,1.0,1.0,0.75,1.0,0.5,0.0,0.5,0.5
8698371110,1771584939,59,0,0.2727,0.6667,0.0,0.5,0.5,0.0,0.5,0.6667,0.5,0.0,0.75,0.5
