match_id,league_id,start_time,patch_version,radiant_hero_ids,dire_hero_ids,radiant_account_ids,dire_account_ids,radiant_win,early_gold_delta_15,early_xp_delta_15,radiant_core_execution_synergy,dire_core_execution_synergy,pressure_team,pressure_retention_std,radiant_pos1_gpm,radiant_pos2_gpm,dire_pos1_gpm,dire_pos2_gpm
8678756038,19290,1770305755,59,"[15, 110, 100, 108, 25]","[38, 59, 129, 128, 136]","[320017600, 122817493, 175311897, 383788462, 123023873]","[202464276, 1673586483, 143786911, 392385140, 248180032]",1,-144,343,0.8193472244831516,0.5848499205707757,,,672,614,540,534
8678838585,19290,1770309127,59,"[145, 52, 62, 138, 78]","[66, 99, 100, 63, 11]","[202464276, 1673586483, 248180032, 392385140, 143786911]","[122817493, 383788462, 175311897, 320017600, 123023873]",0,-2806,-7106,1.6084542020937171,1.284348190906066,dire,4716.824005115953,652,600,647,726
8678838775,19290,1770309135,59,"[64, 88, 96, 13, 38]","[110, 23, 48, 123, 155]","[1675898897, 1682179459, 92487440, 223382342, 96183976]","[349310876, 72393079, 241519559, 115464954, 116249155]",0,-1114,1020,1.0953940025299502,1.0336044895921863,,,598,630,789,574
8678847401,19290,1770309530,59,"[52, 21, 29, 79, 155]","[50, 61, 138, 28, 120]","[154715080, 97658618, 126212866, 241884166, 94155156]","[196400041, 458287006, 219755398, 117514269, 170809075]",1,-786,-263,1.0909327931649988,1.0308649117732138,,,693,766,658,549
8679012782,19290,1770317791,59,"[18, 79, 98, 119, 106]","[72, 126, 96, 90, 27]","[124801257, 320219866, 126842529, 256156323, 210053851]","[418942836, 111620041, 140297552, 101356886, 152168157]",1,-4493,108,0.9633780741146176,1.1906861880402186,radiant,4995.888076481225,871,640,598,511
8679016608,19290,1770317739,59,"[64, 21, 137, 13, 71]","[66, 26, 44, 129, 126]","[1675898897, 96183976, 92487440, 223382342, 1682179459]","[196400041, 219755398, 458287006, 117514269, 170809075]",1,3624,2795,0.8133724979559701,0.6967580359809755,radiant,4087.666049634355,692,686,525,444
8679089063,19290,1770321607,59,"[64, 123, 108, 74, 38]","[87, 21, 2, 72, 23]","[1675898897, 1682179459, 92487440, 223382342, 96183976]","[196400041, 219755398, 117514269, 458287006, 170809075]",1,1131,-578,1.3180199766833665,1.691703863321533,,,692,868,681,624
8679089335,19290,1770321623,59,"[56, 110, 129, 101, 106]","[46, 126, 99, 90, 88]","[124801257, 320219866, 126842529, 256156323, 210053851]","[418942836, 111620041, 140297552, 101356886, 152168157]",0,-1353,-4235,1.2422725359312046,0.9600318927096537,,,716,626,783,699
8679151043,19290,1770326039,59,"[11, 68, 137, 119, 17]","[18, 138, 129, 50, 71]","[124801257, 320219866, 126842529, 256156323, 210053851]","[418942836, 111620041, 140297552, 101356886, 152168157]",1,1234,988,1.0459483333075053,0.931719750969954,,,755,623,524,421
8679760741,19290,1770379220,59,"[100, 47, 54, 119, 96]","[56, 64, 129, 88, 35]","[349310876, 72393079, 241519559, 115464954, 116249155]","[124801257, 320219866, 126842529, 256156323, 210053851]",0,60,-691,0.917987913259865,1.0906846004308306,,,622,490,768,737
8679764627,19290,1770379126,59,"[46, 17, 108, 68, 27]","[87, 123, 155, 21, 126]","[418942836, 111620041, 140297552, 101356886, 152168157]","[1675898897, 1682179459, 92487440, 96183976, 223382342]",1,5485,6589,0.768894667291871,0.5047637134808344,,,679,596,410,454
8679771304,19290,1770379484,59,"[72, 98, 108, 64, 27]","[37, 44, 106, 155, 26]","[202464276, 1673586483, 143786911, 248180032, 392385140]","[196400041, 458287006, 170809075, 117514269, 219755398]",0,946,516,1.0498297590808603,0.973498795978952,,,587,574,718,647
8679832219,19290,1770382223,59,"[64, 131, 96, 120, 46]","[49, 74, 155, 50, 27]","[1675898897, 1682179459, 92487440, 223382342, 96183976]","[418942836, 111620041, 140297552, 101356886, 152168157]",0,1044,4241,0.769330339755779,0.8012404565375622,,,806,601,841,780
8679857477,19290,1770383310,59,"[70, 110, 96, 123, 35]","[83, 47, 63, 119, 108]","[124801257, 320219866, 126842529, 256156323, 210053851]","[349310876, 72393079, 241519559, 115464954, 116249155]",1,5753,3743,0.9812774608171028,1.2214101007968758,radiant,5669.607393814848,682,706,554,409
8679864114,19290,1770383581,59,"[145, 74, 64, 86, 99]","[66, 27, 23, 49, 108]","[202464276, 1673586483, 248180032, 392385140, 143786911]","[196400041, 219755398, 170809075, 458287006, 117514269]",0,-1848,-4291,1.6193852339517825,1.4512425942725307,dire,3467.867847412099,574,441,710,606
8680064909,19290,1770391649,59,"[72, 51, 123, 28, 13]","[46, 73, 155, 37, 27]","[320017600, 122817493, 175311897, 383788462, 123023873]","[418942836, 111620041, 140297552, 101356886, 152168157]",0,1730,1977,0.891792888914731,0.8079013494648674,,,676,586,862,862
8680069429,19290,1770391769,59,"[11, 110, 137, 100, 49]","[9, 19, 10, 15, 13]","[124801257, 320219866, 126842529, 256156323, 210053851]","[196400041, 219755398, 458287006, 117514269, 170809075]",0,-204,-1692,1.0418229617517873,1.2417609046849758,dire,2224.272809124763,634,589,717,659
8680071751,19290,1770391818,59,"[13, 49, 43, 100, 37]","[61, 19, 129, 66, 126]","[154715080, 97658618, 126212866, 241884166, 94155156]","[96183976, 1682179459, 92487440, 1675898897, 223382342]",1,4850,2497,1.1202226210107673,0.9685344023867238,,,752,609,560,573
8680183524,19290,1770396097,59,"[78, 64, 119, 6, 13]","[15, 126, 99, 50, 123]","[383788462, 122817493, 175311897, 320017600, 123023873]","[418942836, 111620041, 140297552, 101356886, 152168157]",0,-7618,-8723,0.6628022225559393,0.8406235837940723,dire,3163.1336782796056,504,406,690,647
8680186040,19290,1770396200,59,"[110, 27, 108, 17, 18]","[106, 56, 29, 121, 64]","[1675898897, 1682179459, 92487440, 223382342, 96183976]","[154715080, 97658618, 126212866, 241884166, 94155156]",1,3262,8253,1.0072793685995696,0.995716577357589,radiant,2596.975596727855,758,660,632,514
8680186885,19290,1770396236,59,"[49, 37, 29, 88, 47]","[66, 136, 109, 96, 13]","[124801257, 320219866, 126842529, 256156323, 210053851]","[196400041, 219755398, 458287006, 117514269, 170809075]",1,473,554,0.6490451868961254,0.6896874377861836,,,665,636,588,541
8680265600,19290,1770399899,59,"[15, 110, 129, 88, 47]","[37, 41, 13, 108, 119]","[124801257, 320219866, 126842529, 256156323, 210053851]","[196400041, 458287006, 170809075, 117514269, 219755398]",1,12624,12174,0.7779297437374029,0.39208756128149586,,,596,536,327,355
8680281936,19290,1770400303,59,"[64, 95, 29, 101, 17]","[106, 102, 137, 121, 37]","[1675898897, 96183976, 92487440, 1682179459, 223382342]","[154715080, 97658618, 126212866, 241884166, 94155156]",1,2707,2067,0.9642247010350719,1.0901748519284722,radiant,5914.640122423154,856,643,596,465
8680365982,19290,1770404510,59,"[126, 138, 108, 27, 155]","[28, 37, 123, 54, 17]","[154715080, 97658618, 126212866, 241884166, 94155156]","[383788462, 122817493, 175311897, 320017600, 123023873]",0,-3115,-2561,1.5132809667673717,1.2192486650220153,dire,6395.504729886454,526,418,778,619
8680384190,19290,1770404876,59,"[66, 106, 102, 123, 99]","[101, 38, 93, 19, 78]","[349310876, 72393079, 241519559, 115464954, 116249155]","[248180032, 1673586483, 202464276, 392385140, 143786911]",1,1373,-959,1.2811344635779236,0.8807866512421325,,,667,492,500,604
8680453812,19290,1770408126,59,"[13, 46, 43, 100, 37]","[45, 15, 88, 108, 126]","[154715080, 97658618, 126212866, 241884166, 94155156]","[122817493, 320017600, 175311897, 383788462, 123023873]",1,4458,6050,0.9592311720553153,0.8596398460679768,radiant,1248.0434687942563,793,627,528,432
8680463401,19290,1770408611,59,"[15, 52, 110, 88, 38]","[145, 11, 108, 37, 51]","[241519559, 72393079, 349310876, 115464954, 116249155]","[202464276, 1673586483, 143786911, 248180032, 392385140]",1,,,0.6723230864452239,0.585139097475506,,,603,484,410,393
