match_id,start_time,patch_version,radiant_win,radiant_first_pick,radiant_recent_winrate,dire_recent_winrate,radiant_winrate_advantage,radiant_synergy_score,dire_synergy_score,radiant_meta_score,dire_meta_score,r1_hero_winrate,r2_hero_winrate,r3_hero_winrate,r4_hero_winrate,r5_hero_winrate,d1_hero_winrate,d2_hero_winrate,d3_hero_winrate,d4_hero_winrate,d5_hero_winrate,radiant_basic_dispel_count,radiant_bkb_pierce_aoe_count,radiant_bkb_pierce_single_count,radiant_burst_damage_count,radiant_early_rosh_armor_count,radiant_early_rosh_solo_count,radiant_elusive_count,radiant_forced_reposition_enemy_count,radiant_global_mobility_count,radiant_hard_save_count,radiant_initiation_count,radiant_invisibility_count,radiant_lane_dominator_count,radiant_late_game_scaling_count,radiant_mass_heal_count,radiant_pseudo_root_count,radiant_push_cooldown_count,radiant_push_poke_count,radiant_push_zoo_count,radiant_reposition_save_count,radiant_strong_dispel_count,radiant_vision_scouting_count,radiant_waveclear_count,dire_basic_dispel_count,dire_bkb_pierce_aoe_count,dire_bkb_pierce_single_count,dire_burst_damage_count,dire_early_rosh_armor_count,dire_early_rosh_solo_count,dire_elusive_count,dire_forced_reposition_enemy_count,dire_global_mobility_count,dire_hard_save_count,dire_initiation_count,dire_invisibility_count,dire_lane_dominator_count,dire_late_game_scaling_count,dire_mass_heal_count,dire_pseudo_root_count,dire_push_cooldown_count,dire_push_poke_count,dire_push_zoo_count,dire_reposition_save_count,dire_strong_dispel_count,dire_vision_scouting_count,dire_waveclear_count
8677201827,1770206373,59,0,1,,0.2,,3,2,0.3203,0.6167,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0,1,0,3,0,1,3,0,0,2,4,0,4,2,0,1,0,0,0,0,1,1,3,1,0,0,0,1,0,1,0,1,1,4,0,5,1,0,1,0,1,0,0,1,1,5
8677261775,1770209279,59,0,1,0.0,0.3333,-0.3333,3,3,0.6267,0.6167,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0,2,0,1,1,0,2,1,0,2,4,0,5,2,1,1,0,1,0,1,1,1,5,0,0,0,1,0,1,4,0,0,3,3,0,4,1,0,2,1,0,0,0,2,1,4
8677288942,1770210517,59,0,0,0.0,1.0,-1.0,2,2,0.6909,0.4643,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0,0,0,3,1,0,3,1,0,2,5,2,4,0,1,2,0,0,0,0,1,2,5,1,1,0,2,1,0,4,0,0,0,4,1,5,2,1,2,1,1,1,0,2,1,3
8677484389,1770218890,59,0,0,,,,2,2,0.5633,0.6165,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,1,0,0,2,0,0,0,5,0,5,0,0,1,0,2,0,0,1,1,4,0,1,0,1,1,0,3,1,0,0,5,1,5,2,0,2,1,0,1,0,0,2,4
8677494117,1770219128,59,0,0,,,,3,3,0.4238,0.62,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,2,0,0,2,2,0,1,5,0,5,2,2,1,0,0,0,1,1,1,5,0,1,0,2,0,0,1,2,1,1,4,0,5,2,0,3,1,1,1,0,0,0,5
8677564756,1770222258,59,0,0,0.0,1.0,-1.0,3,3,0.4559,0.6867,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0,0,1,1,0,1,2,1,0,1,4,1,5,1,0,1,0,0,0,0,0,1,4,0,0,1,3,0,0,4,0,0,1,4,2,5,2,1,0,0,0,0,0,1,2,3
8677600320,1770223897,59,1,1,0.0,1.0,-1.0,2,3,0.48,0.3045,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,1,1,0,0,4,0,1,3,3,0,4,0,0,0,0,0,0,0,1,0,3,0,1,0,3,0,0,1,0,0,1,4,0,5,1,0,0,0,1,0,0,0,0,4
8677674341,1770227535,59,0,1,0.5,0.5,0.0,3,2,0.4291,0.4624,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,1,0,0,1,1,0,4,0,0,1,4,0,4,2,3,1,1,1,0,1,1,0,4,0,1,0,0,0,0,3,2,0,2,5,0,4,1,1,2,0,1,0,1,0,0,5
8678450147,1770292686,59,1,0,0.4286,0.0,0.4286,3,3,0.6509,0.4583,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0,1,0,0,3,1,1,3,5,0,4,2,0,2,0,2,0,2,0,0,4,1,1,0,1,0,0,1,0,0,1,4,0,3,3,2,1,1,0,1,1,1,0,5
8678463732,1770292820,59,1,0,1.0,1.0,0.0,2,3,0.5837,0.501,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1,0,0,2,1,0,4,0,0,0,4,1,5,1,1,0,0,1,0,0,1,2,3,1,1,0,2,0,0,1,1,0,1,5,1,4,3,1,1,1,1,1,1,0,1,3
8678468666,1770293033,59,0,1,0.0,0.3333,-0.3333,2,3,0.4567,0.3152,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0,2,2,0,0,1,3,0,0,1,5,1,4,1,1,2,0,1,1,1,0,1,4,1,0,0,2,0,0,2,1,0,3,5,0,4,1,2,1,0,1,0,1,1,0,4
8678554261,1770297064,59,1,1,0.0,0.5,-0.5,3,3,0.4884,0.6719,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,0.6667,1,1,0,2,0,0,1,1,0,2,4,0,4,3,2,1,1,0,1,1,1,0,4,0,0,0,2,0,1,2,2,1,1,5,0,5,1,0,2,0,2,0,0,0,0,4
8678554665,1770297081,59,0,0,1.0,0.6667,0.3333,3,2,0.425,0.4686,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0,0,0,1,1,0,3,1,0,1,3,0,4,4,0,1,0,0,0,1,0,1,3,0,0,1,1,1,0,3,1,0,1,5,0,5,0,1,2,0,2,0,0,1,0,5
8678559674,1770297305,59,1,1,0.5,0.0,0.5,3,3,0.3,0.4961,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0,0,0,2,1,0,2,1,0,1,4,0,5,3,1,1,0,0,1,0,0,2,3,0,0,0,1,0,0,4,0,0,1,5,0,4,1,0,0,0,1,0,1,0,0,4
8678617868,1770300271,59,1,0,0.25,0.4444,-0.1944,2,3,0.4585,0.4389,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.6667,0.5,0.5,0,0,1,1,0,1,1,1,0,2,4,0,4,0,0,0,0,1,1,0,1,0,4,0,1,0,1,1,0,1,0,1,1,4,0,5,3,1,1,1,0,1,0,1,1,4
8678657524,1770301529,59,0,0,0.75,0.75,0.0,3,3,0.4818,0.5586,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0,1,0,2,0,0,3,2,0,2,4,0,4,2,1,1,1,0,1,0,0,0,4,1,0,0,1,1,0,2,1,0,1,4,0,4,1,1,2,0,2,0,1,0,0,4
8678742616,1770305327,59,1,0,0.4,0.0,0.4,3,3,0.675,0.5286,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,1,1,1,3,0,0,2,5,1,3,1,1,1,0,0,2,1,1,1,3,0,0,0,3,1,0,5,0,0,3,4,1,4,2,0,1,0,1,0,0,2,1,3
8678753328,1770305467,59,1,0,0.4,0.6667,-0.2667,3,3,0.474,0.6082,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0,0,0,3,0,0,3,0,0,2,5,0,5,1,0,1,0,1,0,1,2,0,5,0,0,0,1,0,0,3,1,0,2,3,0,5,1,0,1,0,1,0,0,0,0,4
8678756038,1770305755,59,1,0,0.6,0.0,0.6,3,3,0.5067,0.3476,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0,0,0,2,0,0,3,0,1,2,5,0,4,1,1,0,0,1,0,1,1,0,4,0,0,1,3,0,2,2,2,0,1,5,0,3,2,1,0,0,0,1,2,0,0,4
8678838585,1770309127,59,0,0,0.0,0.6667,-0.6667,3,3,0.3571,0.7258,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,3,0,0,3,0,0,1,3,2,4,2,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,2,0,0,2,3,1,4,3,1,0,0,0,1,1,1,2,2
8678838775,1770309135,59,0,0,0.0,0.5,-0.5,3,3,0.5366,0.575,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,2,0,1,3,0,0,2,5,1,3,1,0,1,0,1,1,1,0,1,4,1,0,0,3,0,0,3,1,0,1,4,1,4,2,2,1,0,0,0,1,1,2,4
